

 ********* STATS AS OF 10/07/2024***********


 **** Highest T20i Batting Average (minm 500 runs) ****
              Player Name     Batting Average   Matches   Innings      Runs   Batting S.R.  Hundreds   Fifties     Fours     Sixes  Profile-ID        Country
           Nick Greenwood               30.89        31        31       865         144.41         0         4        91        25       15567        Country
            Rovman Powell                25.1        80        69      1456         143.59         1         6        82        98       11445        Country
            Hardik Pandya                27.4       103        80      1562         142.78         0         4       116        81        9647        Country
           Dinesh Karthik               26.38        60        48       686         142.62         0         1        71        28         145        Country
             David Warner               33.44       110       110      3277         142.48         1        28       338       122        1739        Country
             Albie Morkel               21.19        50        38       572         142.29         0         0        29        39         484        Country
           Glenn Phillips               32.88        78        69      1874         142.08         2        10       135        90       10693        Country
          Kevin Pietersen               37.94        37        36      1176         141.52         0         7       119        32         395        Country
             Rohit Sharma               31.34       159       151      4231         140.89         5        32       383       205         576        Country
             David Miller               33.41       125       109      2439         140.66         2         7       160       117        6349        Country
          Alishan Sharafu                32.0        30        27       672         139.71         0         4        69        27       14227        Country
              Shadab Khan               17.87       104        52       679         139.71         0         1        44        34       11186        Country
              Zeeshan Ali               28.96        44        35       695         139.56         0         4        63        27       13552        Country
                Asif Khan               28.52        28        28       656         139.28         0         3        46        39       15793        Country
                 KL Rahul               37.75        72        68      2265         139.13         2        22       191        99        8733        Country
         Muhammad Tanveer                48.5        45        41      1358          139.0         0        10        95        81       14778        Country
           Malcolm Waller               26.65        31        31       613         138.37         0         1        42        28        1738        Country
          Quinton de Kock               31.51        92        91      2584         138.33         1        16       264       103        8520        Country
              Kyle Mayers               21.77        38        37       762         138.29         0         3        68        51        8440        Country
           Daryl Mitchell               25.92        67        63      1296         138.02         0         7        91        47       10713        Country
           Tristan Stubbs               27.85        31        25       557         137.87         0         2        45        25       19243        Country
      Colin de Grandhomme               15.72        41        39       503         137.81         0         3        27        30        8081        Country
              Kamran Khan                27.1        32        30       786         137.65         0         6        70        46       15609        Country
